Epoch,Train_BAcc_CN_1,Train_ROCAUC_CN_1,Train_BAcc_CN_2,Train_ROCAUC_CN_2,Train_BAcc_CN_3,Train_ROCAUC_CN_3,Train_BAcc_CN_4,Train_ROCAUC_CN_4,Train_BAcc_CN_5,Train_ROCAUC_CN_5,Train_Avg_BAcc_CN,Train_Avg_ROCAUC_CN,Train_BAcc_MCI_1,Train_ROCAUC_MCI_1,Train_BAcc_MCI_2,Train_ROCAUC_MCI_2,Train_BAcc_MCI_3,Train_ROCAUC_MCI_3,Train_BAcc_MCI_4,Train_ROCAUC_MCI_4,Train_BAcc_MCI_5,Train_ROCAUC_MCI_5,Train_Avg_BAcc_MCI,Train_Avg_ROCAUC_MCI,Train_Avg_BAcc,Train_Avg_ROCAUC,Train_Loss,Val_BAcc_CN_1,Val_ROCAUC_CN_1,Val_BAcc_CN_2,Val_ROCAUC_CN_2,Val_BAcc_CN_3,Val_ROCAUC_CN_3,Val_BAcc_CN_4,Val_ROCAUC_CN_4,Val_BAcc_CN_5,Val_ROCAUC_CN_5,Val_Avg_BAcc_CN,Val_Avg_ROCAUC_CN,Val_BAcc_MCI_1,Val_ROCAUC_MCI_1,Val_BAcc_MCI_2,Val_ROCAUC_MCI_2,Val_BAcc_MCI_3,Val_ROCAUC_MCI_3,Val_BAcc_MCI_4,Val_ROCAUC_MCI_4,Val_BAcc_MCI_5,Val_ROCAUC_MCI_5,Val_Avg_BAcc_MCI,Val_Avg_ROCAUC_MCI,Val_Avg_BAcc,Val_Avg_ROCAUC,Val_Loss
1.0,44.44444444444445,47.174163783160324,35.0,41.38968481375358,35.18518518518518,48.509485094850945,43.750000000000014,54.191350710900466,38.57142857142855,44.74789915966386,39.390211640211646,47.20251671246583,52.988922841864,54.26443304594565,48.17100610736095,50.14036215579127,52.28554641598121,53.45945945945946,48.96381017412086,50.252645954250596,52.937200442423496,57.785424603662285,51.0692971963501,53.180465043821854,45.229754418280876,50.19149087814384,1.0896516322120275,50.0,38.297872340425535,50.00000000000002,44.29824561403509,50.000000000000014,25.72463768115942,50.0,55.387205387205384,49.99999999999999,44.16666666666667,50.000000000000014,41.57492553789842,49.999999999999986,76.32821723730815,50.000000000000014,71.83600713012478,50.000000000000014,66.77631578947368,49.99999999999999,69.20572916666667,49.99999999999999,73.73949579831933,50.0,71.57715302437853,50.00000000000001,56.57603928113848,1.0890985072851065
2.0,33.333333333333336,37.716262975778555,47.50000000000001,55.4297994269341,42.59259259259259,55.67600120445648,45.312500000000014,54.339454976303315,41.428571428571395,47.689075630252105,42.03339947089946,50.17011884274491,53.43773873185638,53.68329149841755,50.966463087967405,48.838529947498124,51.11045828437133,51.51351351351352,48.00102424035508,47.48036872652783,53.14612264962516,49.6128794395969,51.332361398835076,50.225716625110785,46.68288043486727,50.19791773392785,1.0892068421218513,50.0,42.5531914893617,50.00000000000002,42.10526315789473,50.000000000000014,27.536231884057973,50.0,57.07070707070707,49.99999999999999,45.833333333333336,50.000000000000014,43.01974538707096,49.999999999999986,79.5749704840614,50.000000000000014,74.28698752228165,50.000000000000014,70.5827067669173,49.99999999999999,74.08854166666666,49.99999999999999,77.20588235294117,50.0,75.14781775857362,50.00000000000001,59.08378157282229,1.0883841722126804
3.0,50.0,56.901191849288736,47.50000000000001,44.269340974212035,48.148148148148145,41.99036434808793,45.312500000000014,51.1404028436019,45.71428571428567,52.10084033613446,47.334986772486765,49.28042807026501,48.376623376623364,51.47604496343992,53.26475945569482,53.68048858887817,49.553466509988255,49.198589894242076,49.416182997610115,52.178217821782184,49.2626275039941,41.58780877473271,49.97473196878214,49.62423000861501,48.654859370634455,49.45232903944001,1.0886574341364035,50.0,42.55319148936171,50.00000000000002,40.78947368421053,50.000000000000014,28.985507246376805,50.0,55.55555555555556,49.99999999999999,54.58333333333334,50.000000000000014,44.49341226176759,49.999999999999986,80.814639905549,50.000000000000014,75.1336898395722,50.000000000000014,72.4624060150376,49.99999999999999,72.78645833333333,49.99999999999999,76.3655462184874,50.0,75.51254806239591,50.00000000000001,60.00298016208175,1.087674073265687
4.0,50.0,67.01268742791234,50.000000000000014,46.40401146131805,49.999999999999986,60.252935862691956,48.437500000000014,47.482227488151665,49.999999999999964,56.72268907563025,49.68749999999999,55.57491026314085,51.31779984721161,57.295645530939645,49.668916747026664,51.404693024750884,48.58401880141011,51.490011750881315,50.39774667121885,50.06486855582111,50.58068084060465,51.726680594813814,50.10983258149438,52.39637989144135,49.89866629074719,53.985645077291096,1.0868965919414726,50.0,38.297872340425535,50.00000000000002,39.91228070175438,50.000000000000014,29.34782608695652,50.0,51.68350168350169,49.99999999999999,57.49999999999999,50.000000000000014,43.348296162527625,49.999999999999986,81.34592680047226,50.000000000000014,73.0392156862745,50.000000000000014,75.42293233082708,49.99999999999999,74.609375,49.99999999999999,79.20168067226892,50.0,76.72382609796855,50.00000000000001,60.036061130248086,1.0869881288802432
5.0,50.0,66.55132641291812,50.000000000000014,52.750716332378225,49.999999999999986,48.47937368262571,50.00000000000002,53.754443127962084,49.999999999999964,51.05042016806722,50.0,54.51725594479027,50.12414056531701,49.570282658517954,49.83499410693237,50.54109075324118,49.56521739130435,52.364277320799054,50.39774667121885,49.62785933765791,50.4854368932039,56.07103355044857,50.081507125595294,51.634908724132934,50.04075356279765,53.0760823344616,1.0863186026330227,50.0,39.361702127659576,50.00000000000002,35.96491228070175,50.000000000000014,29.71014492753623,50.0,47.47474747474747,49.99999999999999,52.5,50.000000000000014,41.00230136212901,49.999999999999986,82.0543093270366,50.000000000000014,72.95008912655972,50.000000000000014,76.69172932330828,49.99999999999999,75.78125,49.99999999999999,80.35714285714286,50.0,77.56690412680948,50.00000000000001,59.28460274446924,1.0863742000216812
6.0,50.0,65.9361783929258,50.000000000000014,53.86819484240688,49.999999999999986,49.32249322493225,50.00000000000002,44.16469194312796,49.999999999999964,54.53781512605042,50.0,53.56587470588865,49.78991596638654,51.18138164356652,50.32679738562089,48.59744990892531,49.78260869565218,44.63102232667451,50.0,49.45373847729601,50.24271844660194,44.00884846995208,50.02840809885231,47.57448816528289,50.014204049426155,50.570181435585766,1.0862605249755644,50.0,38.297872340425535,50.00000000000002,38.15789473684211,50.000000000000014,29.71014492753623,50.0,56.22895622895623,49.99999999999999,31.666666666666664,50.000000000000014,38.81230698008535,49.999999999999986,82.17237308146399,50.000000000000014,74.15329768270944,50.000000000000014,80.35714285714286,49.99999999999999,80.72916666666667,49.99999999999999,84.24369747899159,50.0,80.3311355533949,50.00000000000001,59.57172126674013,1.0857871817410814
7.0,50.0,67.3202614379085,47.50000000000001,49.01146131805157,49.999999999999986,42.21619993977717,48.437500000000014,46.35663507109005,49.999999999999964,47.18487394957984,49.18749999999999,50.417886343281424,49.89495798319326,47.24435228636909,49.99999999999998,52.33472624022287,50.000000000000014,49.94829612220917,50.24752475247525,51.013997951519286,50.0,50.62062185080496,50.0284965471337,50.23239889022507,49.60799827356685,50.32514261675325,1.085835248326858,50.0,34.04255319148937,50.00000000000002,18.421052631578945,50.000000000000014,23.913043478260875,50.0,57.91245791245792,49.99999999999999,36.666666666666664,50.000000000000014,34.191154776090755,49.999999999999986,82.40850059031877,50.000000000000014,79.36720142602496,50.000000000000014,81.53195488721805,49.99999999999999,82.29166666666667,49.99999999999999,85.08403361344537,50.0,82.13667143673476,50.00000000000001,58.16391310641276,1.08526697656626
8.0,50.0,34.98654363706267,50.000000000000014,64.69914040114614,49.999999999999986,52.48419150858176,50.00000000000002,64.2031990521327,49.999999999999964,51.00840336134455,50.0,53.47629559205357,49.99999999999998,48.556695405434894,49.99999999999998,50.7939569270331,50.000000000000014,50.12455934195065,50.0,48.429498122226015,50.0,54.147720290033185,49.99999999999999,50.41048601733557,50.0,51.94339080469457,1.0851565783592236,50.0,32.97872340425532,50.00000000000002,19.956140350877195,50.000000000000014,27.536231884057973,50.0,61.44781144781144,49.99999999999999,40.833333333333336,50.000000000000014,36.55044808406705,49.999999999999986,83.47107438016529,50.000000000000014,80.4367201426025,50.000000000000014,83.17669172932331,49.99999999999999,84.50520833333334,49.99999999999999,85.71428571428571,50.0,83.46079605994204,50.00000000000001,60.00562207200454,1.0847761620376333
9.0,50.0,33.87158785082661,50.000000000000014,51.77650429799427,49.999999999999986,53.357422463113515,50.00000000000002,49.36315165876778,49.999999999999964,43.19327731092437,50.0,46.31238871632531,49.99999999999998,52.954818290952744,49.99999999999998,49.98392799742849,50.000000000000014,47.69682726204465,50.0,53.820416524411065,50.0,52.06464298881651,49.99999999999999,51.30412661273069,50.0,48.808257664528,1.0852547278226623,50.0,34.57446808510638,50.00000000000002,21.92982456140351,50.000000000000014,33.69565217391305,50.0,64.98316498316498,49.99999999999999,42.50000000000001,50.000000000000014,39.53662196071758,49.999999999999986,84.4155844155844,50.000000000000014,80.4367201426025,50.000000000000014,85.10338345864662,49.99999999999999,83.984375,49.99999999999999,86.02941176470588,50.0,83.99389495630787,50.00000000000001,61.765258458512726,1.0842659758243693
10.0,50.0,66.10918877354864,50.000000000000014,46.676217765042985,49.999999999999986,47.274917193616375,50.00000000000002,56.20556872037915,49.999999999999964,51.30252100840336,50.0,53.513682692198095,49.99999999999998,49.41340172432609,49.99999999999998,48.93389049608914,50.000000000000014,53.11633372502938,50.0,46.03277569136224,50.0,49.299496128794395,49.99999999999999,49.359179553120256,50.0,51.43643112265917,1.0840368529757878,50.0,37.76595744680851,50.00000000000002,44.29824561403509,50.000000000000014,43.47826086956522,50.0,65.993265993266,49.99999999999999,44.166666666666664,50.000000000000014,47.140479318068294,49.999999999999986,86.06847697756788,50.000000000000014,80.3921568627451,50.000000000000014,83.78759398496241,49.99999999999999,82.421875,49.99999999999999,86.34453781512606,50.0,83.8029281280803,50.00000000000001,65.4717037230743,1.0837698244248424
11.0,50.0,49.13494809688581,50.000000000000014,47.621776504298,49.999999999999986,44.35411020776874,50.00000000000002,52.38447867298579,49.999999999999964,52.10084033613446,50.0,49.11923076361457,49.99999999999998,50.38742769835207,49.83606557377046,47.613843351548276,50.000000000000014,47.85546415981198,50.0,52.49573233185387,50.0,49.04141575519233,49.96721311475409,49.47877665935171,49.983606557377044,49.29900371148314,1.0839661786240176,50.0,36.170212765957444,50.00000000000002,51.31578947368421,50.000000000000014,42.028985507246375,50.0,68.85521885521885,49.99999999999999,40.833333333333336,50.000000000000014,47.840707987088045,49.999999999999986,87.48524203069657,50.000000000000014,77.98573975044563,50.000000000000014,84.63345864661655,49.99999999999999,83.85416666666666,49.99999999999999,85.08403361344537,50.0,83.80852814157416,50.00000000000001,65.8246180643311,1.0832472691626842
12.0,50.0,67.97385620915033,50.000000000000014,56.69054441260746,49.999999999999986,40.018066847335135,50.00000000000002,51.58471563981043,49.999999999999964,46.21848739495798,50.0,52.49713410077227,49.99999999999998,56.01058605260286,49.99999999999998,50.682524375870564,50.000000000000014,47.15863689776733,50.0,50.94571526118129,50.0,43.203883495145625,49.99999999999999,49.60026921651353,50.0,51.0487016586429,1.0830088653914756,50.0,30.319148936170215,50.00000000000002,55.48245614035088,50.000000000000014,46.376811594202906,50.0,69.86531986531986,49.99999999999999,42.5,50.000000000000014,48.90874730720877,49.999999999999986,87.78040141676506,50.000000000000014,78.475935828877,50.000000000000014,85.15037593984962,49.99999999999999,83.52864583333334,49.99999999999999,85.92436974789915,50.0,84.17194575334483,50.00000000000001,66.54034653027679,1.0827252837891512
13.0,50.0,35.60169165705498,50.000000000000014,48.6676217765043,49.999999999999986,48.35892803372478,50.00000000000002,48.59300947867299,49.999999999999964,48.27731092436974,50.0,45.89971237406536,49.99999999999998,50.169158572519926,49.99999999999998,55.48055287688847,50.000000000000014,48.606345475910686,50.0,49.4503243427791,50.0,50.706648642005646,49.99999999999999,50.882605982020756,50.0,48.391159178043054,1.083250378231437,50.0,41.48936170212766,50.00000000000002,58.99122807017544,50.000000000000014,50.0,50.0,71.38047138047138,49.99999999999999,42.5,50.000000000000014,52.872212230554894,49.999999999999986,87.48524203069657,50.000000000000014,79.14438502673798,50.000000000000014,85.29135338345866,49.99999999999999,83.85416666666667,49.99999999999999,86.76470588235294,50.0,84.50797059798256,50.00000000000001,68.69009141426872,1.0822390036323473
14.0,50.0,46.40522875816993,50.000000000000014,58.95415472779369,49.999999999999986,56.66967780788919,50.00000000000002,57.12381516587678,49.999999999999964,51.512605042016816,50.0,54.13309630034928,49.99999999999998,53.21810542398777,49.99999999999998,44.65659487838851,50.000000000000014,49.93419506462985,50.0,48.68214407647662,50.0,53.398058252427184,49.99999999999999,49.977819539181986,50.0,52.05545791976563,1.0817756671916532,50.0,47.87234042553192,50.00000000000002,59.86842105263157,50.000000000000014,47.82608695652174,50.0,72.72727272727273,49.99999999999999,42.083333333333336,50.000000000000014,54.07549089905825,49.999999999999986,86.89492325855961,50.000000000000014,79.23351158645275,50.000000000000014,84.58646616541354,49.99999999999999,85.15625,49.99999999999999,86.5546218487395,50.0,84.48515457183308,50.00000000000001,69.28032273544567,1.0817498611314365
15.0,50.0,55.094194540561325,50.000000000000014,53.252148997134675,49.999999999999986,40.108401084010836,50.00000000000002,54.69490521327014,49.999999999999964,56.72268907563025,50.0,51.97446778212144,49.99999999999998,49.49798101058605,49.99999999999998,52.15900567877425,50.000000000000014,47.57461809635723,50.0,51.56708774325709,50.0,49.139732087993124,49.99999999999999,49.98768492339356,50.0,50.9810763527575,1.0818918265501516,50.0,60.63829787234043,50.00000000000002,66.22807017543859,50.000000000000014,58.69565217391304,50.0,72.72727272727273,49.99999999999999,42.50000000000001,50.000000000000014,60.15785858979295,49.999999999999986,86.83589138134592,50.000000000000014,78.87700534759358,50.000000000000014,84.77443609022556,49.99999999999999,84.9609375,49.99999999999999,85.92436974789915,50.0,84.27452801341283,50.00000000000001,72.21619330160289,1.0812357948843077
16.0,50.0,44.482891195693966,50.000000000000014,56.87679083094556,49.999999999999986,44.74555856669678,50.00000000000002,53.64336492890995,49.999999999999964,53.403361344537814,50.0,50.63039337335682,49.99999999999998,52.10220451817089,49.99999999999998,54.11978999249973,50.000000000000014,51.17273795534665,50.0,48.350973028337314,50.0,52.80816025562246,49.99999999999999,51.710773149995404,50.0,51.170583261676114,1.0814065866697302,50.0,60.63829787234043,50.00000000000002,67.98245614035088,50.000000000000014,56.52173913043479,50.0,71.04377104377105,49.99999999999999,42.50000000000001,50.000000000000014,59.73725283737942,49.999999999999986,87.66233766233766,50.000000000000014,78.16399286987523,50.000000000000014,85.43233082706767,49.99999999999999,85.09114583333333,49.99999999999999,86.5546218487395,50.0,84.58088580827066,50.00000000000001,72.15906932282505,1.0807167531291202
17.0,50.0,43.44482891195693,50.000000000000014,47.65042979942694,49.999999999999986,53.44775669978923,50.00000000000002,47.37855450236967,49.999999999999964,50.42016806722689,50.0,48.46834759615393,49.99999999999998,46.65229728254939,49.99999999999998,51.75827708132433,50.000000000000014,52.24676850763807,50.0,46.387845681119835,50.0,49.49612879439597,49.99999999999999,49.30826346940552,50.0,48.888305532779725,1.080965046910931,50.0,59.57446808510638,50.00000000000002,70.6140350877193,50.000000000000014,49.275362318840585,50.0,64.14141414141415,49.99999999999999,42.5,50.000000000000014,57.221055926616074,49.999999999999986,87.95749704840614,50.000000000000014,78.78787878787878,50.000000000000014,85.38533834586465,49.99999999999999,85.546875,49.99999999999999,86.97478991596638,50.0,84.93047581962318,50.00000000000001,71.07576587311962,1.0802105092887062
