FPR,TPR_Year1_CN,TPR_Year1_MCI,TPR_Year2_CN,TPR_Year2_MCI,TPR_Year3_CN,TPR_Year3_MCI,TPR_Year4_CN,TPR_Year4_MCI,TPR_Year5_CN,TPR_Year5_MCI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010101010101010102,0.04329095213154532,0.13572109297692528,0.002747281867223249,0.07196906628109301,0.01185579388937905,0.250715317060588,0.025478667269712048,0.2655282600630508,0.05457313763032346,0.2573855042990846
0.020202020202020204,0.08648522187888408,0.21611414713206395,0.007670191134772678,0.13014523492691205,0.02518407699482854,0.401238652710289,0.050957334539424096,0.5028123036654095,0.10755035303550763,0.48119690094998735
0.030303030303030304,0.1295056407335211,0.24071607371448114,0.014611259940586272,0.17379544637898933,0.03988562497564291,0.5032629847733379,0.07643600180913614,0.6866840171292318,0.15882625512521312,0.6414573081239748
0.04040404040404041,0.17227504018696135,0.2591418380743503,0.02341302042260202,0.21544822781431291,0.0558612134911166,0.6093532820733946,0.10191466907884819,0.7919752867766732,0.20829545280910053,0.7082832380062647
0.05050505050505051,0.21471625173070957,0.29139462479449973,0.033918004718757916,0.30288354414464,0.07301161820054408,0.7109640781417141,0.12739333634856023,0.8140516841196659,0.25585255499683046,0.7202821726033645
0.06060606060606061,0.2567521068562707,0.3164249612986594,0.04596874496699192,0.32867002102163634,0.09123761476321975,0.7883048059838298,0.15287200361827227,0.8234714720985049,0.30139217059806356,0.7281769614467221
0.07070707070707072,0.2983054370551495,0.3346451807657647,0.059407773305242065,0.3745465900904586,0.11043997883843812,0.8216090954717772,0.17835067088798434,0.8299938198298635,0.34480890852246043,0.7337780328731017
0.08080808080808081,0.3392990738188509,0.3818772386313894,0.07407762187144627,0.4350520256689385,0.13051948608549355,0.8268635034308762,0.20382933815769638,0.8349586963289976,0.3870770346329629,0.7388872548534436
0.09090909090909091,0.37965584863887974,0.44085866222356723,0.08982082280354259,0.46202953069970354,0.15137691216368052,0.830358416260668,0.22930800542740842,0.8396612818628584,0.42905208338194323,0.7435080494838918
0.10101010101010102,0.4192985930067409,0.46376133786614016,0.10647990823946901,0.47441917501605285,0.1729270253200592,0.8328121948427157,0.25478667269712046,0.8437688200242085,0.46989794187728745,0.747114459756027
0.11111111111111112,0.45815013841393926,0.4810146000438844,0.12389741031716345,0.48354587799032245,0.1966298186585561,0.8349432000585821,0.2802653399668325,0.8471799553662,0.5087714813962803,0.7501148529638558
0.12121212121212122,0.4961333163519796,0.49811162386518115,0.14191586117456395,0.5150346439602639,0.22312525086749854,0.8374697927898306,0.30574400723654455,0.8504234205355417,0.5448295732162065,0.7529175964013854
0.13131313131313133,0.5331709583123667,0.5135669640375464,0.1603777929496085,0.5564107558597918,0.25185835589521854,0.8409998891518538,0.33122267450625664,0.8540279481789418,0.5772290886143512,0.7559310573626224
0.14141414141414144,0.5691858957866057,0.5270801898495556,0.1791257377802351,0.6885270897596175,0.28227416769004804,0.845116635586988,0.3567013417759687,0.8581924518580404,0.6051268988679991,0.759563603141574
0.15151515151515152,0.6041009602662012,0.5353852391141295,0.2002596450509929,0.7696246208642903,0.3138177202003192,0.8495016762430417,0.3821800090456807,0.8625127737471148,0.6283352664955253,0.7642236010322471
0.16161616161616163,0.6378389832426582,0.5455753313026924,0.22703489553092965,0.7901053814736092,0.345934047374364,0.8539544964917487,0.40844966533430654,0.8670323025184284,0.6482120619808435,0.7704667041061286
0.17171717171717174,0.6703227962074816,0.5675502844277401,0.25864205101395576,0.8068807973307515,0.37806818316051466,0.858272326480096,0.4367104809464991,0.871811921541883,0.6658229490238647,0.7843475052535354
0.18181818181818182,0.7014752306521759,0.6614073530279821,0.29420652809082565,0.817610305213611,0.4096651615071031,0.8623384761307731,0.4658724907892294,0.8769125141873801,0.682221838527983,0.8038275773812964
0.19191919191919193,0.7312191180682464,0.6763488654916786,0.3328537433522942,0.8253275428282447,0.4401700163624614,0.8663696169824144,0.49476414236279836,0.8823949638248215,0.6984626413965923,0.8219418079228303
0.20202020202020204,0.7594772899471977,0.6843918376673358,0.37370911338911594,0.8314195235971222,0.46907785723732587,0.8706419295607453,0.522213883167507,0.8883137258834773,0.7155992685330863,0.8319665302218103
0.21212121212121213,0.7861725777805347,0.6953279759037188,0.41589805479204517,0.8365398055412399,0.49757384657707865,0.8754321939892267,0.5470501607036563,0.8948539532613665,0.7346856308408589,0.8367900235668831
0.22222222222222224,0.8112278130597623,0.7135011225737685,0.458545984151837,0.8412149205078499,0.5262304240411108,0.8810091565403629,0.5681014224715472,0.9032258064516129,0.7579401559263481,0.8403292181069959
0.23232323232323235,0.8345658272763855,0.7351078409541651,0.5007783180592457,0.8459077094480791,0.5548577691515507,0.8872612419004008,0.5842292262453979,0.9191131168849391,0.7867840838112666,0.8434759880122599
0.24242424242424243,0.8561094519219089,0.7581660386138844,0.5417204731050257,0.8501700617900588,0.5832660614305268,0.8939321200189018,0.5964694480311985,0.9342563407865292,0.8183356455212263,0.8470701303953614
0.25252525252525254,0.8757815184878374,0.780695192424131,0.580497865879932,0.8540848171098088,0.6112654804001679,0.9007654608454272,0.606415523927241,0.9383341475765952,0.849595434853005,0.8505970438864441
0.26262626262626265,0.8935048584656761,0.8045486250891087,0.616235912974719,0.85803149812313,0.6386662055826021,0.9075049343295385,0.6148982423648021,0.941288005016844,0.8775640456033806,0.8538179221230769
0.27272727272727276,0.9092023033469296,0.8246448192549523,0.6480600309801412,0.8623896275458232,0.6652784164999583,0.9141341856334839,0.6227483917751588,0.9436628701245856,0.8992420715691313,0.8569513617155815
0.2828282828282829,0.9227966846231028,0.8348826015546673,0.6750956364869534,0.8675537351731555,0.6909122926743647,0.9212235752998044,0.6307967605895881,0.9455633800683454,0.9116301065470344,0.8602159592742786
0.29292929292929293,0.9342108337857007,0.8441386625497307,0.6980826277608572,0.8744524219100731,0.71537801362795,0.927290270424298,0.6398741372393669,0.9470941720166488,0.9152463829962851,0.86383031140949
0.30303030303030304,0.9433675823262277,0.8526137691204421,0.7209154585183005,0.8830022092825751,0.7386539243771225,0.931491171492958,0.6508113101557724,0.9483598831380213,0.918269656445395,0.8680130147315368
0.31313131313131315,0.9501897617361894,0.8603564415310996,0.7436083459862468,0.8925607671421001,0.7630055727860818,0.9354508831863941,0.6649216139709799,0.9494651506009881,0.9212227103549345,0.8729826658507405
0.32323232323232326,0.9546002035070902,0.8674152000460024,0.7659258866487464,0.9024857653400861,0.7885134509759066,0.9392845782441197,0.6844590716225806,0.9505146115740747,0.9241063248612507,0.8793082800212925
0.33333333333333337,0.9565217391304348,0.8738385649294489,0.7876326769898504,0.9121348737279723,0.8142851013448089,0.9429880955462134,0.7079970517781464,0.9516129032258065,0.9269212801006903,0.8907993966817497
0.3434343434343435,0.9571506543750411,0.8796750564457378,0.808493313493609,0.9208657621571967,0.8394280662910011,0.9465572739727548,0.733658254206188,0.9527514154120305,0.9296683562096004,0.9050605695881989
0.3535353535353536,0.9577362666234239,0.8849731948591681,0.828272392644073,0.928036100479198,0.8630498882126947,0.9499879524038225,0.7595653786752168,0.9538526568353703,0.9323483333243278,0.9177635858562777
0.36363636363636365,0.9582809547876346,0.889781500434038,0.8467345109252932,0.933003558545415,0.8842581095081018,0.9532759697194959,0.7838411249537437,0.9549179429345157,0.9349619915812192,0.9251184238335111
0.37373737373737376,0.9587870977797243,0.8941484934346466,0.86364426482132,0.9363281885226423,0.902160272575435,0.9564171647998541,0.8046081928102801,0.9559485891481571,0.9375101111166216,0.9301689633148438
0.38383838383838387,0.9592570745117441,0.8981226941252923,0.8787662508162042,0.939472985281303,0.9158639198129058,0.9594073765249758,0.819989282013337,0.9569459109149842,0.9399934720668819,0.9342347521918056
0.393939393939394,0.9596932638957453,0.9017526227702739,0.8918650653939965,0.9424556829251013,0.9244765936187264,0.9622424437749405,0.8309970031856468,0.957911223673687,0.942412854568347,0.9372235650331807
0.4040404040404041,0.960098044843779,0.9050867996338902,0.9027053050387475,0.9452820976414603,0.927632634571705,0.9649182054298271,0.8408511088332064,0.9588458428629559,0.9447690387573638,0.9391352184996868
0.4141414141414142,0.9604737962678965,0.9081737449804395,0.9110515662345077,0.9479580456178026,0.929604213568899,0.9674305003697147,0.849677853057953,0.9597510839214807,0.9470628047702792,0.9407600956768882
0.42424242424242425,0.9608228970801492,0.9110619790742208,0.9166684454653281,0.9504893430415507,0.9315236809821036,0.9697751674746822,0.857585379167551,0.9606282622879513,0.9492949327434398,0.9423029005845377
0.43434343434343436,0.9611477261925879,0.9137985859157599,0.9198173932624931,0.9528818061001274,0.9333916771534054,0.9719480456248089,0.8646818304696652,0.961478693401058,0.9514662028131929,0.9437669766681409
0.4444444444444445,0.9614506625172641,0.91639543362849,0.9226270258996953,0.9551412509809554,0.9352088424248914,0.9739449737001739,0.8710753502719598,0.9623036926994908,0.9535773951158851,0.9451556673732037
0.4545454545454546,0.9617340849662288,0.9188545815670963,0.9253701815167138,0.9572734938714573,0.9369758171386483,0.975761790580856,0.8768740818820996,0.9631045756219395,0.9556292897878633,0.9464723161452319
0.4646464646464647,0.9620003724515334,0.9211840147022782,0.9280474418913647,0.9592843509590558,0.9386932416367625,0.9773943351469345,0.8821733049522782,0.9638826576070942,0.9576226669654746,0.9477202664297313
0.4747474747474748,0.9622519038852287,0.9233917180047342,0.9306593888014631,0.9611796384311736,0.9403617562613211,0.9788384462784887,0.8868951094569254,0.9646392540936451,0.9595583067850656,0.9489028616722075
